specimen,hole_index,x_mm,y_mm,radius_mm,diameter_mm,note
transverse_dense_perforated_plate,1,23,31,5,10,Legacy FEM transverse reference layout.
transverse_dense_perforated_plate,2,23,54,5,10,Legacy FEM transverse reference layout.
transverse_dense_perforated_plate,3,23,77,5,10,Legacy FEM transverse reference layout.
transverse_dense_perforated_plate,4,23,100,5,10,Legacy FEM transverse reference layout.
transverse_dense_perforated_plate,5,23,123,5,10,Legacy FEM transverse reference layout.
transverse_dense_perforated_plate,6,46,31,5,10,Legacy FEM transverse reference layout.
transverse_dense_perforated_plate,7,46,54,5,10,Legacy FEM transverse reference layout.
transverse_dense_perforated_plate,8,46,77,5,10,Legacy FEM transverse reference layout.
transverse_dense_perforated_plate,9,46,100,5,10,Legacy FEM transverse reference layout.
transverse_dense_perforated_plate,10,46,123,5,10,Legacy FEM transverse reference layout.
transverse_dense_perforated_plate,11,69,31,5,10,Legacy FEM transverse reference layout.
transverse_dense_perforated_plate,12,69,54,5,10,Legacy FEM transverse reference layout.
transverse_dense_perforated_plate,13,69,77,5,10,Legacy FEM transverse reference layout.
transverse_dense_perforated_plate,14,69,100,5,10,Legacy FEM transverse reference layout.
transverse_dense_perforated_plate,15,69,123,5,10,Legacy FEM transverse reference layout.
transverse_dense_perforated_plate,16,92,31,5,10,Legacy FEM transverse reference layout.
transverse_dense_perforated_plate,17,92,54,5,10,Legacy FEM transverse reference layout.
transverse_dense_perforated_plate,18,92,77,5,10,Legacy FEM transverse reference layout.
transverse_dense_perforated_plate,19,92,100,5,10,Legacy FEM transverse reference layout.
transverse_dense_perforated_plate,20,92,123,5,10,Legacy FEM transverse reference layout.
transverse_dense_perforated_plate,21,115,31,5,10,Legacy FEM transverse reference layout.
transverse_dense_perforated_plate,22,115,54,5,10,Legacy FEM transverse reference layout.
transverse_dense_perforated_plate,23,115,77,5,10,Legacy FEM transverse reference layout.
transverse_dense_perforated_plate,24,115,100,5,10,Legacy FEM transverse reference layout.
transverse_dense_perforated_plate,25,115,123,5,10,Legacy FEM transverse reference layout.
transverse_dense_perforated_plate,26,138,31,5,10,Legacy FEM transverse reference layout.
transverse_dense_perforated_plate,27,138,54,5,10,Legacy FEM transverse reference layout.
transverse_dense_perforated_plate,28,138,77,5,10,Legacy FEM transverse reference layout.
transverse_dense_perforated_plate,29,138,100,5,10,Legacy FEM transverse reference layout.
transverse_dense_perforated_plate,30,138,123,5,10,Legacy FEM transverse reference layout.
transverse_dense_perforated_plate,31,161,31,5,10,Legacy FEM transverse reference layout.
transverse_dense_perforated_plate,32,161,54,5,10,Legacy FEM transverse reference layout.
