序号(),日期时间,时间(s),水平X1力(kN),水平X2力(kN),垂向Y1力(kN),垂向Y2力(kN),水平X1位移(mm),水平X2位移(mm),垂向Y1位移(mm),垂向Y2位移(mm),水平应变1微应变(με),水平应变2微应变(με),垂向应变1微应变(με),垂向应变2微应变(με),应变CH5微应变(με),应变CH6微应变(με),应变CH7微应变(με),应变CH8微应变(με),水平变形(mm),垂向变形(mm)
0,#2026-05-27 13:56:46#,0,-0.000263,0.000109,-0.022147,-0.021757,-0.000333,0,-0.000333,-0.000333,0,0,0,0,0,0,0,0,0,0
1,#2026-05-27 13:56:46#,0,-0.000263,0.000109,-0.022147,-0.021757,-0.000333,0,-0.000333,-0.000333,0,0,0,0,0,0,0,0,0,0
2,#2026-05-27 13:56:46#,0.200000000000728,-0.000304,0.000279,-0.022449,-0.022101,0,-0.000333,-0.000333,-0.000333,0,0,0,0,0,0,0,0,0,0
3,#2026-05-27 13:56:46#,0.32300000000032,-0.000315,0.000134,-0.022479,-0.022249,0,0,-0.000333,-0.000333,0,0,0,0,0,0,0,0,0,0
4,#2026-05-27 13:56:46#,0.423000000000684,-0.000125,0.00014,-0.022498,-0.021968,0,-0.000333,-0.000333,-0.000333,0,0,0,0,0,0,0,0,0,0
5,#2026-05-27 13:56:47#,0.522999999999229,-0.000233,-7E-06,-0.021759,-0.021401,0,0,-0.000333,-0.000333,0,0,0,0,0,0,0,0,0,0
6,#2026-05-27 13:56:47#,0.625,-0.000272,0.0001,-0.01958,-0.018729,0,0,-0.000333,0,0,0,0,0,0,0,0,0,0,0
7,#2026-05-27 13:56:47#,0.725000000000364,-0.000205,0.000153,-0.012753,-0.011664,0,0,-0.000333,0.000667,0,0,0,0,0,0,0,0,0,0
8,#2026-05-27 13:56:47#,0.825000000000728,-0.000173,9.4E-05,0.009277,0.011459,0,0,-0.000333,0.002,0,0,0,0,0,0,0,0,0,0
9,#2026-05-27 13:56:47#,0.915999999999258,-0.000166,0.000249,0.060325,0.063475,0,0,-0.000333,0.005,0,0,0,0,0,0,0,0,0,0
10,#2026-05-27 13:56:47#,1.02499999999964,-0.000166,0.000306,0.177792,0.180238,0,0,-0.000333,0.012667,0,0,0,0,0,0,0,0,0,0
