index,三维坐标X,三维坐标Y,三维坐标Z,位移场DX
1,-28.0461,50.0378,1024.43,0.0205253
2,-27.1774,50.0462,1024.73,0.020576
3,-26.3084,50.0545,1025.03,0.0203479
4,-25.4387,50.0625,1025.33,0.0205688
5,-24.5689,50.0712,1025.63,0.0202868
6,-23.698,50.0805,1025.93,0.0205096
7,-22.8273,50.0888,1026.22,0.020048
8,-21.9555,50.0972,1026.52,0.0203595
9,-21.0833,50.1052,1026.82,0.0204362
10,-20.2112,50.114,1027.11,0.019891
11,-19.3381,50.1215,1027.41,0.0199071
12,-18.4648,50.1297,1027.71,0.019597
13,-17.5909,50.1379,1028,0.019434
14,-16.7167,50.1468,1028.3,0.0190503
15,-15.8419,50.1558,1028.6,0.0187617
16,-14.9664,50.1646,1028.89,0.0186535
17,-14.0906,50.1729,1029.19,0.018391
18,-13.2139,50.1818,1029.49,0.0185
19,-12.337,50.1903,1029.78,0.0182055
20,-11.4606,50.1985,1030.08,0.0170293
21,-2.65892,50.3049,1033.06,0.0147879
22,-1.77556,50.304,1033.34,0.0154191
23,-0.891815,50.3042,1033.62,0.0158636
24,-0.00790913,50.3122,1033.9,0.0156321
25,0.87712,50.324,1034.19,0.0159165
26,1.76228,50.332,1034.48,0.0160054
27,2.6476,50.3399,1034.78,0.0157297
28,3.53331,50.3478,1035.07,0.0153453
29,4.41982,50.3573,1035.36,0.0152112
30,5.30712,50.3663,1035.65,0.0153774
31,6.19449,50.374,1035.94,0.0151576
32,7.08284,50.3825,1036.24,0.0153374
33,7.97169,50.3933,1036.49,0.0156379
34,8.86324,50.4008,1036.78,0.0181168
35,16.8862,50.4971,1039.52,0.0136373
36,17.7782,50.5022,1039.77,0.0122089
37,18.6712,50.516,1040.05,0.0104232
38,19.5629,50.5148,1040.31,0.00784239
39,20.4586,50.5167,1040.58,0.00838911
40,21.3544,50.5242,1040.87,0.00797393
41,22.251,50.5327,1041.16,0.00768171
42,23.1478,50.5402,1041.46,0.00724688
43,24.045,50.5482,1041.75,0.00665666
44,24.9425,50.5563,1042.04,0.00583347
45,25.8407,50.5652,1042.33,0.0052798
46,26.7395,50.5752,1042.61,0.00488253
47,27.6387,50.5899,1042.87,0.00456054
48,28.5386,50.6079,1043.12,0.00476044
49,29.4403,50.6451,1043.38,0.00519382
50,30.3464,50.7009,1043.63,0.00858804
51,35.803,50.6974,1047.06,-0.00456308
52,36.6933,50.6918,1046.84,-0.00343488
53,37.5887,50.7143,1046.76,-0.00164791
54,38.4732,50.7032,1046.44,-0.00298124
55,39.3771,50.6921,1046.68,-0.00373343
56,40.2838,50.699,1046.97,-0.00406132
57,41.1912,50.7058,1047.26,-0.00436286
58,42.0991,50.7143,1047.55,-0.00490537
59,43.0077,50.7221,1047.84,-0.00503832
60,43.9164,50.7303,1048.13,-0.0057093
61,44.8258,50.7381,1048.42,-0.00623132
62,45.7354,50.7464,1048.71,-0.00696533
63,46.6458,50.7538,1049,-0.00738821
64,47.5564,50.7745,1049.28,-0.00822202
65,48.4662,50.801,1049.53,-0.00947848
66,49.3792,50.8327,1049.8,-0.00902238
67,50.2921,50.8901,1050.06,-0.00993628
68,51.2106,50.9758,1050.38,-0.00981339
69,55.79,50.9183,1052.06,-0.0148968
70,56.7044,50.8971,1052.32,-0.0142501
71,57.6227,50.8732,1052.64,-0.0135381
72,58.5362,50.8689,1052.86,-0.0138278
73,59.4521,50.8604,1053.11,-0.0133129
74,60.3708,50.8718,1053.4,-0.013756
75,61.2909,50.8803,1053.69,-0.0136865
76,62.2108,50.8878,1053.99,-0.0141941
77,63.1322,50.8952,1054.28,-0.0139716
78,64.0535,50.9027,1054.58,-0.0141893
79,64.9754,50.9112,1054.87,-0.0144726
80,65.8976,50.9202,1055.17,-0.0149359
81,66.821,50.9286,1055.47,-0.0152127
82,67.7432,50.9347,1055.76,-0.0162183
83,68.6659,50.9495,1056.01,-0.0156821
84,69.5941,50.9535,1056.36,-0.0158061
85,70.5208,50.977,1056.67,-0.016418
86,75.1571,51.0892,1058.12,-0.016761
87,76.0896,51.0783,1058.47,-0.0156987
88,77.0251,51.0715,1058.87,-0.0169753
89,77.9467,51.0456,1059.06,-0.0178523
90,78.8741,51.0356,1059.32,-0.0174056
91,79.8058,51.039,1059.62,-0.0175234
92,80.7381,51.0493,1059.92,-0.0177085
93,81.6703,51.0582,1060.22,-0.0181626
94,82.6038,51.0666,1060.52,-0.0180869
95,83.5376,51.0749,1060.82,-0.0180642
96,84.4715,51.0827,1061.12,-0.0183163
97,85.4065,51.0905,1061.42,-0.0186496
98,86.3418,51.0984,1061.72,-0.0187893
99,-28.0489,49.1618,1024.41,0.0168346
100,-27.1804,49.1699,1024.71,0.0167713
101,-26.3116,49.1777,1025,0.0164926
102,-25.4419,49.1858,1025.3,0.0167004
103,-24.5721,49.1941,1025.6,0.0164187
104,-23.7014,49.2032,1025.9,0.0165246
105,-22.8307,49.2115,1026.2,0.0161301
106,-21.9591,49.2198,1026.5,0.0161673
107,-21.087,49.2278,1026.8,0.0162299
108,-20.2149,49.2361,1027.09,0.0157178
109,-19.3417,49.2438,1027.39,0.0158056
110,-18.4686,49.2513,1027.68,0.0154224
111,-17.5949,49.2591,1027.98,0.0150726
112,-16.7206,49.2673,1028.27,0.0147298
113,-15.8457,49.2759,1028.57,0.0146076
114,-14.9704,49.2844,1028.87,0.0143933
115,-14.0945,49.2926,1029.17,0.0141965
116,-13.2179,49.3015,1029.46,0.0142645
117,-12.3413,49.3086,1029.75,0.0137385
118,-1.77971,49.4242,1033.35,0.0113837
119,-0.895636,49.4275,1033.61,0.0120006
120,-0.0117914,49.4287,1033.88,0.0119707
121,0.873108,49.4391,1034.17,0.0121918
122,1.7581,49.4471,1034.46,0.0121257
123,2.64338,49.4548,1034.76,0.0118297
124,3.52919,49.4628,1035.05,0.0115597
125,4.41561,49.4717,1035.34,0.0113761
126,5.30266,49.4804,1035.63,0.0113057
127,6.19084,49.4883,1035.93,0.0118606
128,7.07938,49.4957,1036.23,0.0123011
129,7.96846,49.5041,1036.49,0.0129116
130,17.7748,49.6282,1039.79,0.00831675
131,18.6663,49.6381,1040.14,0.00431782
132,19.5577,49.6247,1040.32,0.00300843
133,20.4533,49.6255,1040.57,0.00383827
134,21.349,49.6336,1040.86,0.0034779
135,22.2455,49.6423,1041.15,0.00302518
136,23.1423,49.6501,1041.44,0.00258656
137,24.0395,49.6583,1041.73,0.00204098
138,24.9371,49.6661,1042.02,0.00133827
139,25.8352,49.6748,1042.31,0.000666581
140,26.7338,49.6797,1042.57,0.000810687
141,27.6329,49.6917,1042.83,0.000588293
142,28.5327,49.7125,1043.06,0.000927725
143,36.6922,49.8121,1046.87,-0.00535137
144,37.5855,49.8403,1046.74,-0.00525269
145,38.4748,49.8349,1046.56,-0.00520324
146,39.3729,49.796,1046.68,-0.00722765
147,40.2795,49.802,1046.96,-0.00738897
148,41.185,49.8108,1047.24,-0.00929458
149,42.0932,49.8195,1047.54,-0.00958243
150,43.0019,49.827,1047.83,-0.00963791
151,43.9103,49.8349,1048.12,-0.0104312
152,44.8195,49.8429,1048.41,-0.0111227
153,45.7293,49.8506,1048.7,-0.0116828
154,46.637,49.8617,1048.97,-0.0141979
155,47.5467,49.8834,1049.24,-0.0156062
156,48.4556,49.9149,1049.47,-0.0169362
157,49.3676,49.9575,1049.72,-0.0172084
158,56.7072,50.0616,1052.43,-0.0189861
159,57.6237,50.006,1052.74,-0.0182361
160,58.5362,49.9894,1052.96,-0.0188695
161,59.4471,49.9664,1053.12,-0.0182925
162,60.3641,49.9708,1053.38,-0.0186511
163,61.2844,49.9796,1053.68,-0.018527
164,62.2045,49.9868,1053.98,-0.0188493
165,63.1257,49.9943,1054.27,-0.0188252
166,64.0472,50.0023,1054.57,-0.0189763
167,64.9688,50.0101,1054.86,-0.0194579
168,65.8914,50.0179,1055.16,-0.0195161
169,66.8153,50.03,1055.46,-0.0196416
170,67.7388,50.0428,1055.76,-0.0204213
171,68.6617,50.0651,1056.01,-0.0196927
172,76.0933,50.2793,1058.56,-0.0203443
173,77.0264,50.2226,1058.96,-0.0228283
174,77.9419,50.1612,1059.08,-0.0233969
175,78.8675,50.1375,1059.32,-0.0228787
176,79.7998,50.137,1059.62,-0.0219285
177,80.7313,50.1458,1059.92,-0.0228156
178,81.6636,50.1542,1060.22,-0.0231613
179,82.5971,50.1623,1060.52,-0.0229952
180,83.5311,50.1698,1060.81,-0.0227019
181,84.4649,50.1773,1061.11,-0.0231411
182,85.3995,50.1844,1061.41,-0.0237445
183,86.3348,50.1916,1061.71,-0.0238553
184,-28.0521,48.2849,1024.38,0.0129522
185,-27.1837,48.293,1024.68,0.0127536
186,-26.3147,48.3004,1024.98,0.0126557
187,-25.445,48.3088,1025.28,0.0128472
188,-24.5754,48.3161,1025.58,0.0124987
189,-23.7046,48.3251,1025.87,0.012675
190,-22.834,48.3331,1026.17,0.0122189
191,-21.9626,48.341,1026.47,0.012114
192,-21.0906,48.3493,1026.77,0.0121161
193,-20.2185,48.3572,1027.07,0.011706
194,-19.3453,48.3648,1027.36,0.0118283
195,-18.4721,48.3722,1027.66,0.0114774
196,-17.5985,48.38,1027.96,0.0110346
197,-16.7244,48.3877,1028.25,0.0106051
198,-15.8496,48.3956,1028.55,0.0104343
199,-14.9742,48.4038,1028.84,0.0102382
200,-14.0984,48.4111,1029.14,0.0101063
201,-13.2219,48.4185,1029.44,0.0101382
202,-12.3444,48.4281,1029.72,0.0102298
203,-1.7834,48.5589,1033.35,0.00726963
204,-0.900541,48.5448,1033.61,0.00730465
205,-0.0167106,48.5455,1033.86,0.00725476
206,0.867983,48.5547,1034.14,0.00730902
207,1.75287,48.5618,1034.44,0.00717132
208,2.63812,48.5695,1034.73,0.00688229
209,3.52406,48.5776,1035.02,0.00675469
210,4.41052,48.5866,1035.32,0.0066264
211,5.29754,48.595,1035.61,0.00656761
212,6.18605,48.6035,1035.93,0.00738565
213,7.07505,48.6106,1036.23,0.00828688
214,7.96465,48.6195,1036.53,0.0094078
215,17.7721,48.7466,1039.87,0.00508024
216,18.6628,48.7547,1040.25,-0.000493583
217,19.5522,48.7372,1040.31,-0.00193228
218,20.4479,48.7377,1040.55,-0.000744881
219,21.3438,48.7439,1040.84,-0.000995614
220,22.2401,48.752,1041.13,-0.00147168
221,23.137,48.7598,1041.42,-0.00183212
222,24.0344,48.7677,1041.71,-0.00217054
223,24.932,48.7756,1042.01,-0.00284016
224,25.8304,48.7837,1042.29,-0.00314436
225,26.7286,48.7853,1042.55,-0.00322634
