index,三维坐标X,三维坐标Y,三维坐标Z,位移场DY
1,-28.0461,50.0378,1024.43,0.315435
2,-27.1774,50.0462,1024.73,0.319689
3,-26.3084,50.0545,1025.03,0.32401
4,-25.4387,50.0625,1025.33,0.328427
5,-24.5689,50.0712,1025.63,0.332694
6,-23.698,50.0805,1025.93,0.336693
7,-22.8273,50.0888,1026.22,0.34071
8,-21.9555,50.0972,1026.52,0.34547
9,-21.0833,50.1052,1026.82,0.350137
10,-20.2112,50.114,1027.11,0.354418
11,-19.3381,50.1215,1027.41,0.359113
12,-18.4648,50.1297,1027.71,0.363437
13,-17.5909,50.1379,1028,0.367911
14,-16.7167,50.1468,1028.3,0.371717
15,-15.8419,50.1558,1028.6,0.375841
16,-14.9664,50.1646,1028.89,0.380284
17,-14.0906,50.1729,1029.19,0.384548
18,-13.2139,50.1818,1029.49,0.388665
19,-12.337,50.1903,1029.78,0.392656
20,-11.4606,50.1985,1030.08,0.397035
21,-2.65892,50.3049,1033.06,0.436606
22,-1.77556,50.304,1033.34,0.43986
23,-0.891815,50.3042,1033.62,0.443948
24,-0.00790913,50.3122,1033.9,0.448447
25,0.87712,50.324,1034.19,0.452755
26,1.76228,50.332,1034.48,0.456864
27,2.6476,50.3399,1034.78,0.461277
28,3.53331,50.3478,1035.07,0.465816
29,4.41982,50.3573,1035.36,0.469571
30,5.30712,50.3663,1035.65,0.473785
31,6.19449,50.374,1035.94,0.477995
32,7.08284,50.3825,1036.24,0.482697
33,7.97169,50.3933,1036.49,0.48703
34,8.86324,50.4008,1036.78,0.491177
35,16.8862,50.4971,1039.52,0.530325
36,17.7782,50.5022,1039.77,0.533858
37,18.6712,50.516,1040.05,0.536822
38,19.5629,50.5148,1040.31,0.540499
39,20.4586,50.5167,1040.58,0.545736
40,21.3544,50.5242,1040.87,0.550774
41,22.251,50.5327,1041.16,0.555997
42,23.1478,50.5402,1041.46,0.560795
43,24.045,50.5482,1041.75,0.565583
44,24.9425,50.5563,1042.04,0.570233
45,25.8407,50.5652,1042.33,0.574038
46,26.7395,50.5752,1042.61,0.577948
47,27.6387,50.5899,1042.87,0.581206
48,28.5386,50.6079,1043.12,0.584656
49,29.4403,50.6451,1043.38,0.586857
50,30.3464,50.7009,1043.63,0.588768
51,35.803,50.6974,1047.06,0.619163
52,36.6933,50.6918,1046.84,0.630757
53,37.5887,50.7143,1046.76,0.641715
54,38.4732,50.7032,1046.44,0.637047
55,39.3771,50.6921,1046.68,0.64649
56,40.2838,50.699,1046.97,0.651912
57,41.1912,50.7058,1047.26,0.657606
58,42.0991,50.7143,1047.55,0.662811
59,43.0077,50.7221,1047.84,0.667933
60,43.9164,50.7303,1048.13,0.672982
61,44.8258,50.7381,1048.42,0.678452
62,45.7354,50.7464,1048.71,0.683612
63,46.6458,50.7538,1049,0.688122
64,47.5564,50.7745,1049.28,0.693166
65,48.4662,50.801,1049.53,0.697995
66,49.3792,50.8327,1049.8,0.701411
67,50.2921,50.8901,1050.06,0.703284
68,51.2106,50.9758,1050.38,0.704776
69,55.79,50.9183,1052.06,0.752256
70,56.7044,50.8971,1052.32,0.757043
71,57.6227,50.8732,1052.64,0.758461
72,58.5362,50.8689,1052.86,0.763446
73,59.4521,50.8604,1053.11,0.769673
74,60.3708,50.8718,1053.4,0.776235
75,61.2909,50.8803,1053.69,0.781548
76,62.2108,50.8878,1053.99,0.787742
77,63.1322,50.8952,1054.28,0.794315
78,64.0535,50.9027,1054.58,0.79979
79,64.9754,50.9112,1054.87,0.80524
80,65.8976,50.9202,1055.17,0.810538
81,66.821,50.9286,1055.47,0.816405
82,67.7432,50.9347,1055.76,0.821309
83,68.6659,50.9495,1056.01,0.826618
84,69.5941,50.9535,1056.36,0.832611
85,70.5208,50.977,1056.67,0.838077
86,75.1571,51.0892,1058.12,0.860696
87,76.0896,51.0783,1058.47,0.86802
88,77.0251,51.0715,1058.87,0.879717
89,77.9467,51.0456,1059.06,0.889157
90,78.8741,51.0356,1059.32,0.89537
91,79.8058,51.039,1059.62,0.901629
92,80.7381,51.0493,1059.92,0.907469
93,81.6703,51.0582,1060.22,0.912989
94,82.6038,51.0666,1060.52,0.919012
95,83.5376,51.0749,1060.82,0.924392
96,84.4715,51.0827,1061.12,0.929932
97,85.4065,51.0905,1061.42,0.936025
98,86.3418,51.0984,1061.72,0.941577
99,-28.0489,49.1618,1024.41,0.315391
100,-27.1804,49.1699,1024.71,0.319806
101,-26.3116,49.1777,1025,0.324054
102,-25.4419,49.1858,1025.3,0.328496
103,-24.5721,49.1941,1025.6,0.33262
104,-23.7014,49.2032,1025.9,0.336604
105,-22.8307,49.2115,1026.2,0.340681
106,-21.9591,49.2198,1026.5,0.345296
107,-21.087,49.2278,1026.8,0.349912
108,-20.2149,49.2361,1027.09,0.354132
109,-19.3417,49.2438,1027.39,0.358942
110,-18.4686,49.2513,1027.68,0.363468
111,-17.5949,49.2591,1027.98,0.368071
112,-16.7206,49.2673,1028.27,0.371994
113,-15.8457,49.2759,1028.57,0.376165
114,-14.9704,49.2844,1028.87,0.380485
115,-14.0945,49.2926,1029.17,0.384696
116,-13.2179,49.3015,1029.46,0.388806
117,-12.3413,49.3086,1029.75,0.392936
118,-1.77971,49.4242,1033.35,0.440345
119,-0.895636,49.4275,1033.61,0.444153
120,-0.0117914,49.4287,1033.88,0.44857
121,0.873108,49.4391,1034.17,0.453034
122,1.7581,49.4471,1034.46,0.457275
123,2.64338,49.4548,1034.76,0.461805
124,3.52919,49.4628,1035.05,0.466368
125,4.41561,49.4717,1035.34,0.470288
126,5.30266,49.4804,1035.63,0.474613
127,6.19084,49.4883,1035.93,0.478841
128,7.07938,49.4957,1036.23,0.48366
129,7.96846,49.5041,1036.49,0.487901
130,17.7748,49.6282,1039.79,0.534857
131,18.6663,49.6381,1040.14,0.536522
132,19.5577,49.6247,1040.32,0.541355
133,20.4533,49.6255,1040.57,0.546422
134,21.349,49.6336,1040.86,0.551249
135,22.2455,49.6423,1041.15,0.556568
136,23.1423,49.6501,1041.44,0.56126
137,24.0395,49.6583,1041.73,0.566023
138,24.9371,49.6661,1042.02,0.570825
139,25.8352,49.6748,1042.31,0.574853
140,26.7338,49.6797,1042.57,0.578578
141,27.6329,49.6917,1042.83,0.581622
142,28.5327,49.7125,1043.06,0.584717
143,36.6922,49.8121,1046.87,0.637075
144,37.5855,49.8403,1046.74,0.644658
145,38.4748,49.8349,1046.56,0.63716
146,39.3729,49.796,1046.68,0.648647
147,40.2795,49.802,1046.96,0.653593
148,41.185,49.8108,1047.24,0.658341
149,42.0932,49.8195,1047.54,0.663264
150,43.0019,49.827,1047.83,0.668585
151,43.9103,49.8349,1048.12,0.673615
152,44.8195,49.8429,1048.41,0.678975
153,45.7293,49.8506,1048.7,0.683898
154,46.637,49.8617,1048.97,0.688124
155,47.5467,49.8834,1049.24,0.693122
156,48.4556,49.9149,1049.47,0.696759
157,49.3676,49.9575,1049.72,0.698956
158,56.7072,50.0616,1052.43,0.758485
159,57.6237,50.006,1052.74,0.76071
160,58.5362,49.9894,1052.96,0.765491
161,59.4471,49.9664,1053.12,0.770752
162,60.3641,49.9708,1053.38,0.777148
163,61.2844,49.9796,1053.68,0.782447
164,62.2045,49.9868,1053.98,0.788415
165,63.1257,49.9943,1054.27,0.794756
166,64.0472,50.0023,1054.57,0.800051
167,64.9688,50.0101,1054.86,0.805908
168,65.8914,50.0179,1055.16,0.811068
169,66.8153,50.03,1055.46,0.816942
170,67.7388,50.0428,1055.76,0.821611
171,68.6617,50.0651,1056.01,0.826251
172,76.0933,50.2793,1058.56,0.86248
173,77.0264,50.2226,1058.96,0.877157
174,77.9419,50.1612,1059.08,0.887893
175,78.8675,50.1375,1059.32,0.894424
176,79.7998,50.137,1059.62,0.901334
177,80.7313,50.1458,1059.92,0.907404
178,81.6636,50.1542,1060.22,0.91284
179,82.5971,50.1623,1060.52,0.918867
180,83.5311,50.1698,1060.81,0.924489
181,84.4649,50.1773,1061.11,0.93011
182,85.3995,50.1844,1061.41,0.93626
183,86.3348,50.1916,1061.71,0.941746
184,-28.0521,48.2849,1024.38,0.315433
185,-27.1837,48.293,1024.68,0.319815
186,-26.3147,48.3004,1024.98,0.323943
187,-25.445,48.3088,1025.28,0.328241
188,-24.5754,48.3161,1025.58,0.33253
189,-23.7046,48.3251,1025.87,0.336543
190,-22.834,48.3331,1026.17,0.340602
191,-21.9626,48.341,1026.47,0.345002
192,-21.0906,48.3493,1026.77,0.349537
193,-20.2185,48.3572,1027.07,0.353789
194,-19.3453,48.3648,1027.36,0.358628
195,-18.4721,48.3722,1027.66,0.363357
196,-17.5985,48.38,1027.96,0.36793
197,-16.7244,48.3877,1028.25,0.372168
198,-15.8496,48.3956,1028.55,0.376488
199,-14.9742,48.4038,1028.84,0.380787
200,-14.0984,48.4111,1029.14,0.385546
201,-13.2219,48.4185,1029.44,0.39005
202,-12.3444,48.4281,1029.72,0.39433
203,-1.7834,48.5589,1033.35,0.438755
204,-0.900541,48.5448,1033.61,0.444096
205,-0.0167106,48.5455,1033.86,0.449067
206,0.867983,48.5547,1034.14,0.453882
207,1.75287,48.5618,1034.44,0.458431
208,2.63812,48.5695,1034.73,0.462765
209,3.52406,48.5776,1035.02,0.467257
210,4.41052,48.5866,1035.32,0.471093
211,5.29754,48.595,1035.61,0.475385
212,6.18605,48.6035,1035.93,0.479541
213,7.07505,48.6106,1036.23,0.484266
214,7.96465,48.6195,1036.53,0.487971
215,17.7721,48.7466,1039.87,0.533626
216,18.6628,48.7547,1040.25,0.539152
217,19.5522,48.7372,1040.31,0.542329
218,20.4479,48.7377,1040.55,0.546861
219,21.3438,48.7439,1040.84,0.551511
220,22.2401,48.752,1041.13,0.556455
221,23.137,48.7598,1041.42,0.561218
222,24.0344,48.7677,1041.71,0.566
223,24.932,48.7756,1042.01,0.57074
224,25.8304,48.7837,1042.29,0.57505
225,26.7286,48.7853,1042.55,0.578699
226,27.6274,48.7899,1042.79,0.58137
227,28.5264,48.8088,1043,0.583502
228,37.5823,48.9679,1046.77,0.647897
229,38.4756,48.9535,1046.73,0.644258
230,39.3669,48.9009,1046.68,0.649825
231,40.2733,48.9075,1046.95,0.654538
232,41.1791,48.9158,1047.23,0.659044
233,42.0874,48.9242,1047.53,0.66405
234,42.996,48.9313,1047.82,0.669209
235,43.905,48.9391,1048.11,0.674181
236,44.8143,48.9469,1048.4,0.679341
237,45.7242,48.9544,1048.69,0.683902
238,46.6314,48.9588,1048.95,0.687794
239,47.5405,48.9787,1049.21,0.691923
