index,三维坐标X,三维坐标Y,三维坐标Z,LAG_应变Exx
1,-28.0461,50.0378,1024.43,2.82552e-05
2,-27.1774,50.0462,1024.73,0.000123141
3,-26.3084,50.0545,1025.03,0.000132582
4,-25.4387,50.0625,1025.33,0.00011915
5,-24.5689,50.0712,1025.63,9.59017e-05
6,-23.698,50.0805,1025.93,8.1141e-05
7,-22.8273,50.0888,1026.22,5.52765e-05
8,-21.9555,50.0972,1026.52,2.5428e-05
9,-21.0833,50.1052,1026.82,-4.81571e-06
10,-20.2112,50.114,1027.11,-1.90292e-05
11,-19.3381,50.1215,1027.41,-4.28035e-05
12,-18.4648,50.1297,1027.71,-4.06197e-05
13,-17.5909,50.1379,1028,-3.92395e-05
14,-16.7167,50.1468,1028.3,-3.39688e-05
15,-15.8419,50.1558,1028.6,-7.55131e-06
16,-14.9664,50.1646,1028.89,2.01351e-05
17,-14.0906,50.1729,1029.19,6.54808e-05
18,-13.2139,50.1818,1029.49,0.000102451
19,-12.337,50.1903,1029.78,0.000135603
20,-11.4606,50.1985,1030.08,0.0001271
21,-2.65892,50.3049,1033.06,0.00016944
22,-1.77556,50.304,1033.34,0.000235936
23,-0.891815,50.3042,1033.62,0.000202263
24,-0.00790913,50.3122,1033.9,0.000153042
25,0.87712,50.324,1034.19,0.000157995
26,1.76228,50.332,1034.48,0.000170841
27,2.6476,50.3399,1034.78,0.000199026
28,3.53331,50.3478,1035.07,0.000429367
29,4.41982,50.3573,1035.36,0.000604947
30,5.30712,50.3663,1035.65,0.0012714
31,6.19449,50.374,1035.94,0.00236154
32,7.08284,50.3825,1036.24,0.00413837
33,7.97169,50.3933,1036.49,0.00709489
34,8.86324,50.4008,1036.78,0.012401
35,16.8862,50.4971,1039.52,-0.003076
36,17.7782,50.5022,1039.77,-0.00195602
37,18.6712,50.516,1040.05,-0.00134775
38,19.5629,50.5148,1040.31,-0.000978824
39,20.4586,50.5167,1040.58,-0.000767579
40,21.3544,50.5242,1040.87,-0.00063257
41,22.251,50.5327,1041.16,-0.000624379
42,23.1478,50.5402,1041.46,-0.000573243
43,24.045,50.5482,1041.75,-0.000490388
44,24.9425,50.5563,1042.04,-0.000585712
45,25.8407,50.5652,1042.33,-0.000609346
46,26.7395,50.5752,1042.61,-0.000668472
47,27.6387,50.5899,1042.87,-0.000702946
48,28.5386,50.6079,1043.12,-0.000644636
49,29.4403,50.6451,1043.38,-0.000451471
50,30.3464,50.7009,1043.63,0.0108346
51,35.803,50.6974,1047.06,0.00123607
52,36.6933,50.6918,1046.84,9.01285e-05
