序号(),日期时间,时间(s),水平X1力(kN),水平X2力(kN),垂向Y1力(kN),垂向Y2力(kN),水平X1位移(mm),水平X2位移(mm),垂向Y1位移(mm),垂向Y2位移(mm),水平应变1微应变(με),水平应变2微应变(με),垂向应变1微应变(με),垂向应变2微应变(με),应变CH5微应变(με),应变CH6微应变(με),应变CH7微应变(με),应变CH8微应变(με),水平变形(mm),垂向变形(mm)
0,#2026-05-27 14:22:00#,0,0.000106,3.2E-05,-0.022286,-0.019569,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,#2026-05-27 14:22:00#,0,0.000106,3.2E-05,-0.022286,-0.019569,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,#2026-05-27 14:22:00#,0.195999999999913,0.000119,-0.000168,-0.022313,-0.019711,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,#2026-05-27 14:22:00#,0.32300000000032,0.000121,-0.0001,-0.022417,-0.019901,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,#2026-05-27 14:22:00#,0.422999999998865,0.000177,1.7E-05,-0.021833,-0.019163,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,#2026-05-27 14:22:01#,0.524000000001251,0.000235,-6E-06,-0.0204,-0.01816,0,0,0,0.000333,0,0,0,0,0,0,0,0,0,0
6,#2026-05-27 14:22:01#,0.623999999999796,0.000343,-0.000208,-0.016253,-0.014208,0,0,0,0.000667,0,0,0,0,0,0,0,0,0,0
7,#2026-05-27 14:22:01#,0.724000000001979,0.000145,-0.000142,0.000543,0.002772,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0
8,#2026-05-27 14:22:01#,0.825000000000728,0.000203,-3.8E-05,0.048283,0.051167,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0
9,#2026-05-27 14:22:01#,0.922999999998865,0.000207,3.4E-05,0.119714,0.124038,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0
10,#2026-05-27 14:22:01#,1.02500000000146,0.000337,-7.5E-05,0.193574,0.196325,0,0,0,0.015667,0,0,0,0,0,0,0,0,0,0
11,#2026-05-27 14:22:01#,1.10299999999916,0.000322,7.8E-05,0.241243,0.243049,0,0,0,0.019667,0,0,0,0,0,0,0,0,0,0
12,#2026-05-27 14:22:01#,1.21399999999994,5.4E-05,-1.7E-05,0.298448,0.29885,0,0,0,0.024333,0,0,0,0,0,0,0,0,0,0
13,#2026-05-27 14:22:01#,1.32500000000073,0.000242,-4E-06,0.347412,0.346484,0,0,0,0.028667,0,0,0,0,0,0,0,0,0,0
14,#2026-05-27 14:22:01#,1.42699999999968,0.000246,3.4E-05,0.390675,0.388651,0,0,0,0.032667,0,0,0,0,0,0,0,0,0,0
15,#2026-05-27 14:22:02#,1.52800000000207,0.000222,-2.9E-05,0.43562,0.432306,0,0,-0.000333,0.037,0,0,0,0,0,0,0,0,0,0
16,#2026-05-27 14:22:02#,1.62800000000061,0.00027,-2.1E-05,0.477026,0.473139,0,0,-0.000333,0.041,0,0,0,0,0,0,0,0,0,0
17,#2026-05-27 14:22:02#,1.72799999999916,0.000382,-8.6E-05,0.509479,0.504764,0,0,-0.000333,0.044333,0,0,0,0,0,0,0,0,0,0
18,#2026-05-27 14:22:02#,1.82800000000134,0.000235,-0.000113,0.539966,0.534497,0,0,-0.000333,0.047667,0,0,0,0,0,0,0,0,0,0
19,#2026-05-27 14:22:02#,1.92799999999988,0.00036,-0.000109,0.572063,0.566125,0,0,-0.000333,0.051,0,0,0,0,0,0,0,0,0,0
20,#2026-05-27 14:22:02#,2.02800000000207,0.000274,0.000143,0.602822,0.596541,0,0,-0.000667,0.054667,0,0,0,0,0,0,0,0,0,0
21,#2026-05-27 14:22:02#,2.12900000000081,0.000263,-4.2E-05,0.627366,0.62054,0,0,-0.000667,0.057667,0,0,0,0,0,0,0,0,0,0
22,#2026-05-27 14:22:02#,2.22899999999936,0.000162,-0.000105,0.649333,0.642008,0,0,-0.000667,0.060333,0,0,0,0,0,0,0,0,0,0
23,#2026-05-27 14:22:02#,2.32099999999991,0.000287,8.6E-05,0.670639,0.66313,0,0,-0.000667,0.063,0,0,0,0,0,0,0,0,0,0
24,#2026-05-27 14:22:02#,2.42900000000009,0.000252,-4.2E-05,0.697288,0.689129,0,0,-0.000667,0.066667,0,0,0,0,0,0,0,0,0,0
25,#2026-05-27 14:22:03#,2.52999999999884,0.000222,8.8E-05,0.725633,0.71694,0,0,-0.000667,0.07,0,0,0,0,0,0,0,0,0,0
26,#2026-05-27 14:22:03#,2.63000000000102,0.00024,-6.9E-05,0.754687,0.7456,0,0,-0.000667,0.074,0,0,0,0,0,0,0,0,0,0
27,#2026-05-27 14:22:03#,2.72999999999956,0.000145,6.7E-05,0.780987,0.771714,0,0,-0.000667,0.077667,0,0,0,0,0,0,0,0,0,0
