index,三维坐标X,三维坐标Y,三维坐标Z,位移场DX
1,-20.566,47.1066,1026.93,0.0124999
2,-19.6936,47.1127,1027.23,0.0122877
3,-18.8207,47.1201,1027.53,0.0118706
4,-17.9468,47.1282,1027.83,0.0120267
5,-17.0727,47.1339,1028.13,0.0120296
6,-16.1981,47.1414,1028.43,0.0119424
7,-15.3231,47.1492,1028.73,0.0115528
8,-14.4471,47.1569,1029.03,0.0117701
9,-13.5713,47.1643,1029.32,0.0112534
10,-12.6948,47.1719,1029.62,0.0109656
11,-11.8181,47.1791,1029.91,0.010286
12,-10.9405,47.1863,1030.2,0.00997627
13,-10.0623,47.1934,1030.49,0.00993232
14,-9.18399,47.2006,1030.78,0.00944539
15,-8.30497,47.2084,1031.08,0.00918379
16,-7.42476,47.2155,1031.37,0.00961314
17,-6.54484,47.2246,1031.67,0.009239
18,-5.66405,47.2315,1031.98,0.00932234
19,-4.78288,47.2385,1032.27,0.00920846
20,-3.90062,47.2464,1032.57,0.00967871
21,-3.01873,47.2524,1032.86,0.00928215
22,-2.13651,47.2591,1033.15,0.00869337
23,-1.25289,47.2668,1033.45,0.00899533
24,-0.369844,47.2739,1033.74,0.00823219
25,0.513936,47.2817,1034.04,0.00767743
26,1.39782,47.2897,1034.33,0.00671774
27,2.2829,47.2984,1034.62,0.00642521
28,3.16853,47.3064,1034.92,0.00618983
29,4.0544,47.3145,1035.21,0.00568266
30,4.94113,47.3214,1035.5,0.00556788
31,5.82767,47.3283,1035.79,0.00480727
32,6.71563,47.3348,1036.07,0.00495683
33,7.60346,47.34,1036.37,0.00450547
34,8.49187,47.3469,1036.66,0.00407649
35,9.38074,47.3541,1036.95,0.00363776
36,10.2703,47.3596,1037.23,0.00346388
37,11.1611,47.3669,1037.53,0.003862
38,12.0511,47.375,1037.81,0.00303556
39,12.9424,47.3832,1038.1,0.00299159
40,13.8346,47.3922,1038.39,0.00325126
41,14.7268,47.3985,1038.68,0.00307926
42,15.6192,47.4084,1038.98,0.00244931
43,16.5122,47.4159,1039.27,0.00201377
44,17.4067,47.4249,1039.57,0.00248255
45,18.3004,47.4325,1039.86,0.00167354
46,19.1951,47.4379,1040.15,0.00155705
47,20.0902,47.445,1040.43,0.00125463
48,20.9857,47.4514,1040.73,0.000818353
49,21.8815,47.4598,1041.02,7.76306e-05
50,22.7776,47.4657,1041.31,-0.000769165
51,23.6745,47.4726,1041.6,-0.00158536
52,24.5713,47.4808,1041.9,-0.00291289
53,25.4694,47.4885,1042.19,-0.00340843
54,26.3676,47.4957,1042.48,-0.00426017
55,27.2663,47.5014,1042.77,-0.00514039
56,28.166,47.509,1043.06,-0.00554827
57,29.0659,47.5158,1043.33,-0.00591092
58,29.967,47.5229,1043.63,-0.00612117
59,30.8679,47.529,1043.92,-0.00677217
60,31.7703,47.5362,1044.21,-0.00660371
61,32.6729,47.5431,1044.5,-0.00671508
62,33.5762,47.5503,1044.79,-0.00668568
63,34.479,47.5563,1045.07,-0.00727677
64,35.3824,47.5629,1045.36,-0.0080904
65,36.2866,47.571,1045.64,-0.00848994
66,37.1909,47.5786,1045.93,-0.00940064
67,38.0961,47.5857,1046.22,-0.00995205
68,39.0014,47.5925,1046.51,-0.0110732
69,39.9077,47.5998,1046.81,-0.0118595
70,40.8154,47.6069,1047.09,-0.0115202
71,41.7225,47.6124,1047.38,-0.0120894
72,42.6304,47.6185,1047.66,-0.0126476
73,43.539,47.6252,1047.96,-0.0131601
74,44.4484,47.6321,1048.25,-0.0132498
75,45.3577,47.6386,1048.53,-0.0139678
76,46.2674,47.6451,1048.82,-0.0148236
77,47.1781,47.6518,1049.12,-0.0155431
78,48.0897,47.6576,1049.42,-0.0160431
79,49.0014,47.6645,1049.71,-0.0166237
80,49.9133,47.6696,1050,-0.0172874
81,50.8259,47.6751,1050.28,-0.0174393
82,51.7387,47.6821,1050.56,-0.0181046
83,52.6526,47.6896,1050.85,-0.018592
84,53.5676,47.6958,1051.14,-0.0186671
85,54.4826,47.7017,1051.42,-0.0188575
86,55.3983,47.7083,1051.72,-0.0192271
87,56.315,47.7158,1052.01,-0.0194988
88,57.2328,47.7223,1052.31,-0.0190149
89,58.1503,47.728,1052.6,-0.0192304
90,59.0685,47.7352,1052.9,-0.0195224
91,59.9865,47.7432,1053.19,-0.0202922
92,60.9051,47.7496,1053.48,-0.020846
93,61.8252,47.7556,1053.77,-0.0208714
94,62.7456,47.7632,1054.07,-0.0212938
95,63.667,47.77,1054.37,-0.0212248
96,64.5882,47.7774,1054.66,-0.021808
97,65.5102,47.7831,1054.95,-0.0220874
98,66.4334,47.79,1055.26,-0.0223129
99,67.3567,47.7981,1055.55,-0.022631
100,68.2808,47.8046,1055.85,-0.0226576
101,69.2048,47.8112,1056.15,-0.0233169
102,70.13,47.818,1056.44,-0.0231927
103,71.0562,47.8246,1056.73,-0.0228264
104,71.9824,47.8315,1057.03,-0.0229245
105,72.909,47.8372,1057.32,-0.0229852
106,73.8366,47.8437,1057.62,-0.0230771
107,74.7648,47.8498,1057.92,-0.023358
108,75.6934,47.8566,1058.22,-0.0235018
109,76.622,47.8631,1058.51,-0.0240464
110,77.5521,47.87,1058.81,-0.0236835
111,78.482,47.8761,1059.1,-0.023759
112,79.4122,47.8831,1059.39,-0.0240958
113,80.3443,47.8901,1059.69,-0.0238556
114,81.2762,47.8974,1059.98,-0.0237951
115,82.2088,47.9039,1060.27,-0.0236805
116,83.142,47.9107,1060.57,-0.0241283
117,84.076,47.9183,1060.88,-0.0245635
118,85.0113,47.9251,1061.18,-0.0244992
119,85.946,47.9329,1061.48,-0.0247964
120,86.8812,47.9386,1061.78,-0.0255249
121,-20.5701,46.2275,1026.9,0.00792467
122,-19.6977,46.2347,1027.2,0.00765012
123,-18.8247,46.242,1027.51,0.00749508
124,-17.9508,46.25,1027.8,0.00758369
125,-17.0769,46.2546,1028.11,0.00751149
126,-16.2021,46.262,1028.41,0.00756407
127,-15.3273,46.2693,1028.7,0.00704448
128,-14.4513,46.2763,1029,0.00728389
129,-13.5757,46.2838,1029.3,0.00667524
130,-12.6994,46.2912,1029.59,0.00613795
131,-11.8227,46.2981,1029.88,0.00559987
132,-10.945,46.3056,1030.17,0.00534509
133,-10.0668,46.3125,1030.47,0.00534941
134,-9.1882,46.3199,1030.76,0.00515442
135,-8.30938,46.3269,1031.06,0.00471953
136,-7.42903,46.3335,1031.35,0.00533917
137,-6.54908,46.3421,1031.65,0.00500884
138,-5.66831,46.3481,1031.95,0.00513777
139,-4.78731,46.3551,1032.25,0.00488031
140,-3.90493,46.3628,1032.55,0.00550786
