index,三维坐标X,三维坐标Y,三维坐标Z,位移场DY
1,-20.566,47.1066,1026.93,0.369435
2,-19.6936,47.1127,1027.23,0.374354
3,-18.8207,47.1201,1027.53,0.378965
4,-17.9468,47.1282,1027.83,0.383658
5,-17.0727,47.1339,1028.13,0.38838
6,-16.1981,47.1414,1028.43,0.393019
7,-15.3231,47.1492,1028.73,0.397588
8,-14.4471,47.1569,1029.03,0.402668
9,-13.5713,47.1643,1029.32,0.407638
10,-12.6948,47.1719,1029.62,0.412066
11,-11.8181,47.1791,1029.91,0.416603
12,-10.9405,47.1863,1030.2,0.421282
13,-10.0623,47.1934,1030.49,0.425697
14,-9.18399,47.2006,1030.78,0.430239
15,-8.30497,47.2084,1031.08,0.43494
16,-7.42476,47.2155,1031.37,0.439674
17,-6.54484,47.2246,1031.67,0.443689
18,-5.66405,47.2315,1031.98,0.448119
19,-4.78288,47.2385,1032.27,0.452725
20,-3.90062,47.2464,1032.57,0.457365
21,-3.01873,47.2524,1032.86,0.462171
22,-2.13651,47.2591,1033.15,0.466783
23,-1.25289,47.2668,1033.45,0.471424
24,-0.369844,47.2739,1033.74,0.476109
25,0.513936,47.2817,1034.04,0.48086
26,1.39782,47.2897,1034.33,0.485398
27,2.2829,47.2984,1034.62,0.489623
28,3.16853,47.3064,1034.92,0.494528
29,4.0544,47.3145,1035.21,0.499469
30,4.94113,47.3214,1035.5,0.504683
31,5.82767,47.3283,1035.79,0.509248
32,6.71563,47.3348,1036.07,0.514392
33,7.60346,47.34,1036.37,0.519455
34,8.49187,47.3469,1036.66,0.524189
35,9.38074,47.3541,1036.95,0.52849
36,10.2703,47.3596,1037.23,0.533057
37,11.1611,47.3669,1037.53,0.538073
38,12.0511,47.375,1037.81,0.54194
39,12.9424,47.3832,1038.1,0.546633
40,13.8346,47.3922,1038.39,0.550859
41,14.7268,47.3985,1038.68,0.555829
42,15.6192,47.4084,1038.98,0.560328
43,16.5122,47.4159,1039.27,0.564881
44,17.4067,47.4249,1039.57,0.569739
45,18.3004,47.4325,1039.86,0.574645
46,19.1951,47.4379,1040.15,0.580024
47,20.0902,47.445,1040.43,0.584767
48,20.9857,47.4514,1040.73,0.589637
49,21.8815,47.4598,1041.02,0.594419
50,22.7776,47.4657,1041.31,0.599673
51,23.6745,47.4726,1041.6,0.604936
52,24.5713,47.4808,1041.9,0.609796
53,25.4694,47.4885,1042.19,0.615143
54,26.3676,47.4957,1042.48,0.620431
55,27.2663,47.5014,1042.77,0.625984
56,28.166,47.509,1043.06,0.631284
57,29.0659,47.5158,1043.33,0.636234
58,29.967,47.5229,1043.63,0.641232
59,30.8679,47.529,1043.92,0.646845
60,31.7703,47.5362,1044.21,0.652558
61,32.6729,47.5431,1044.5,0.658283
62,33.5762,47.5503,1044.79,0.663473
63,34.479,47.5563,1045.07,0.669368
64,35.3824,47.5629,1045.36,0.674968
65,36.2866,47.571,1045.64,0.680307
66,37.1909,47.5786,1045.93,0.685355
67,38.0961,47.5857,1046.22,0.690744
68,39.0014,47.5925,1046.51,0.696225
69,39.9077,47.5998,1046.81,0.701908
70,40.8154,47.6069,1047.09,0.707445
71,41.7225,47.6124,1047.38,0.713659
72,42.6304,47.6185,1047.66,0.719613
73,43.539,47.6252,1047.96,0.725634
74,44.4484,47.6321,1048.25,0.731346
75,45.3577,47.6386,1048.53,0.737174
76,46.2674,47.6451,1048.82,0.743299
77,47.1781,47.6518,1049.12,0.749188
78,48.0897,47.6576,1049.42,0.755344
79,49.0014,47.6645,1049.71,0.761
80,49.9133,47.6696,1050,0.767678
81,50.8259,47.6751,1050.28,0.774292
82,51.7387,47.6821,1050.56,0.780498
83,52.6526,47.6896,1050.85,0.786531
84,53.5676,47.6958,1051.14,0.793296
85,54.4826,47.7017,1051.42,0.800501
86,55.3983,47.7083,1051.72,0.807216
87,56.315,47.7158,1052.01,0.812902
88,57.2328,47.7223,1052.31,0.819494
89,58.1503,47.728,1052.6,0.825831
90,59.0685,47.7352,1052.9,0.831625
91,59.9865,47.7432,1053.19,0.836719
92,60.9051,47.7496,1053.48,0.842434
93,61.8252,47.7556,1053.77,0.84906
94,62.7456,47.7632,1054.07,0.854877
95,63.667,47.77,1054.37,0.861235
96,64.5882,47.7774,1054.66,0.867214
