index,三维坐标X,三维坐标Y,三维坐标Z,LAG_应变Exx
1,-20.566,47.1066,1026.93,8.45753e-05
2,-19.6936,47.1127,1027.23,9.47393e-05
3,-18.8207,47.1201,1027.53,5.53902e-05
4,-17.9468,47.1282,1027.83,4.02008e-05
5,-17.0727,47.1339,1028.13,1.96161e-05
6,-16.1981,47.1414,1028.43,-2.32454e-05
7,-15.3231,47.1492,1028.73,-5.29068e-05
8,-14.4471,47.1569,1029.03,-6.63398e-05
9,-13.5713,47.1643,1029.32,-9.67045e-05
10,-12.6948,47.1719,1029.62,-0.000116811
11,-11.8181,47.1791,1029.91,-0.000108344
12,-10.9405,47.1863,1030.2,-9.6949e-05
13,-10.0623,47.1934,1030.49,-6.98908e-05
14,-9.18399,47.2006,1030.78,-1.52056e-05
15,-8.30497,47.2084,1031.08,4.72486e-05
16,-7.42476,47.2155,1031.37,7.27843e-05
17,-6.54484,47.2246,1031.67,7.3348e-05
18,-5.66405,47.2315,1031.98,7.86831e-05
19,-4.78288,47.2385,1032.27,6.49631e-05
20,-3.90062,47.2464,1032.57,3.51538e-05
21,-3.01873,47.2524,1032.86,-3.63486e-05
22,-2.13651,47.2591,1033.15,-8.93179e-05
23,-1.25289,47.2668,1033.45,-0.000146505
24,-0.369844,47.2739,1033.74,-0.000196338
25,0.513936,47.2817,1034.04,-0.000235215
26,1.39782,47.2897,1034.33,-0.000251478
27,2.2829,47.2984,1034.62,-0.000267141
28,3.16853,47.3064,1034.92,-0.000281445
29,4.0544,47.3145,1035.21,-0.000244848
30,4.94113,47.3214,1035.5,-0.000225407
31,5.82767,47.3283,1035.79,-0.000175687
32,6.71563,47.3348,1036.07,-0.000143648
33,7.60346,47.34,1036.37,-0.000124846
34,8.49187,47.3469,1036.66,-5.251e-05
35,9.38074,47.3541,1036.95,-2.27539e-05
36,10.2703,47.3596,1037.23,1.80241e-07
37,11.1611,47.3669,1037.53,-2.9191e-05
38,12.0511,47.375,1037.81,-3.69944e-05
39,12.9424,47.3832,1038.1,-3.08157e-05
40,13.8346,47.3922,1038.39,-5.43344e-05
41,14.7268,47.3985,1038.68,-5.97249e-05
42,15.6192,47.4084,1038.98,-5.44588e-05
43,16.5122,47.4159,1039.27,-9.21683e-05
44,17.4067,47.4249,1039.57,-0.00014744
45,18.3004,47.4325,1039.86,-0.000180057
46,19.1951,47.4379,1040.15,-0.000241838
47,20.0902,47.445,1040.43,-0.00032694
48,20.9857,47.4514,1040.73,-0.00044556
49,21.8815,47.4598,1041.02,-0.000550249
50,22.7776,47.4657,1041.31,-0.000619555
51,23.6745,47.4726,1041.6,-0.000701284
52,24.5713,47.4808,1041.9,-0.000717879
53,25.4694,47.4885,1042.19,-0.000685843
54,26.3676,47.4957,1042.48,-0.000642771
55,27.2663,47.5014,1042.77,-0.000540435
56,28.166,47.509,1043.06,-0.00044076
57,29.0659,47.5158,1043.33,-0.000305549
58,29.967,47.5229,1043.63,-0.000217191
59,30.8679,47.529,1043.92,-0.000152862
60,31.7703,47.5362,1044.21,-0.000110566
61,32.6729,47.5431,1044.5,-0.000123346
62,33.5762,47.5503,1044.79,-0.000163004
63,34.479,47.5563,1045.07,-0.000243945
64,35.3824,47.5629,1045.36,-0.000319849
65,36.2866,47.571,1045.64,-0.000387704
66,37.1909,47.5786,1045.93,-0.000430024
67,38.0961,47.5857,1046.22,-0.000489518
68,39.0014,47.5925,1046.51,-0.000492511
69,39.9077,47.5998,1046.81,-0.000483781
70,40.8154,47.6069,1047.09,-0.000484734
71,41.7225,47.6124,1047.38,-0.000484201
72,42.6304,47.6185,1047.66,-0.00048115
73,43.539,47.6252,1047.96,-0.000460757
74,44.4484,47.6321,1048.25,-0.000467998
75,45.3577,47.6386,1048.53,-0.000471714
76,46.2674,47.6451,1048.82,-0.000464952
77,47.1781,47.6518,1049.12,-0.000455883
78,48.0897,47.6576,1049.42,-0.000446918
79,49.0014,47.6645,1049.71,-0.000402108
80,49.9133,47.6696,1050,-0.000332485
81,50.8259,47.6751,1050.28,-0.000282567
82,51.7387,47.6821,1050.56,-0.000243109
83,52.6526,47.6896,1050.85,-0.000181491
84,53.5676,47.6958,1051.14,-0.000120404
85,54.4826,47.7017,1051.42,-7.37611e-05
86,55.3983,47.7083,1051.72,-7.76932e-05
87,56.315,47.7158,1052.01,-9.63164e-05
88,57.2328,47.7223,1052.31,-0.000151153
89,58.1503,47.728,1052.6,-0.000201328
90,59.0685,47.7352,1052.9,-0.000210081
91,59.9865,47.7432,1053.19,-0.000217555
92,60.9051,47.7496,1053.48,-0.000227974
93,61.8252,47.7556,1053.77,-0.000252515
94,62.7456,47.7632,1054.07,-0.000231742
95,63.667,47.77,1054.37,-0.000197713
96,64.5882,47.7774,1054.66,-0.000179189
97,65.5102,47.7831,1054.95,-0.000197379
98,66.4334,47.79,1055.26,-0.000181469
99,67.3567,47.7981,1055.55,-0.000144104
100,68.2808,47.8046,1055.85,-0.000107111
101,69.2048,47.8112,1056.15,-5.21553e-05
102,70.13,47.818,1056.44,-1.79157e-05
103,71.0562,47.8246,1056.73,3.49978e-05
104,71.9824,47.8315,1057.03,3.57503e-05
105,72.909,47.8372,1057.32,4.45219e-05
106,73.8366,47.8437,1057.62,5.03196e-05
107,74.7648,47.8498,1057.92,2.29634e-05
108,75.6934,47.8566,1058.22,-9.57782e-06
109,76.622,47.8631,1058.51,-4.18338e-05
110,77.5521,47.87,1058.81,-5.38814e-05
111,78.482,47.8761,1059.1,-5.08336e-05
112,79.4122,47.8831,1059.39,-3.99421e-05
113,80.3443,47.8901,1059.69,-3.43175e-05
114,81.2762,47.8974,1059.98,-8.60621e-06
115,82.2088,47.9039,1060.27,-2.95907e-05
116,83.142,47.9107,1060.57,-3.77375e-05
117,84.076,47.9183,1060.88,-3.56741e-05
118,85.0113,47.9251,1061.18,-2.11974e-05
119,85.946,47.9329,1061.48,-6.20866e-05
120,86.8812,47.9386,1061.78,-0.000195326
121,-20.5701,46.2275,1026.9,7.5848e-05
122,-19.6977,46.2347,1027.2,7.28583e-05
123,-18.8247,46.242,1027.51,4.13913e-05
124,-17.9508,46.25,1027.8,2.73265e-05
125,-17.0769,46.2546,1028.11,4.76607e-06
126,-16.2021,46.262,1028.41,-3.06216e-05
127,-15.3273,46.2693,1028.7,-5.01637e-05
128,-14.4513,46.2763,1029,-6.03093e-05
129,-13.5757,46.2838,1029.3,-7.82908e-05
130,-12.6994,46.2912,1029.59,-8.80361e-05
131,-11.8227,46.2981,1029.88,-7.60507e-05
132,-10.945,46.3056,1030.17,-7.14791e-05
133,-10.0668,46.3125,1030.47,-5.42015e-05
134,-9.1882,46.3199,1030.76,-1.33187e-05
135,-8.30938,46.3269,1031.06,2.2902e-05
136,-7.42903,46.3335,1031.35,5.08949e-05
137,-6.54908,46.3421,1031.65,4.94321e-05
138,-5.66831,46.3481,1031.95,6.75843e-05
139,-4.78731,46.3551,1032.25,6.06057e-05
140,-3.90493,46.3628,1032.55,3.68523e-05
141,-3.02317,46.37,1032.84,-2.63986e-06
142,-2.14093,46.3765,1033.13,-3.98365e-05
143,-1.25716,46.3833,1033.43,-9.64943e-05
144,-0.374078,46.3903,1033.72,-0.000151509
145,0.510166,46.3985,1034.02,-0.000194637
146,1.39389,46.4056,1034.31,-0.000247804
147,2.27915,46.4136,1034.6,-0.000279209
148,3.16445,46.4207,1034.9,-0.000306822
149,4.05025,46.4279,1035.19,-0.000278804
150,4.93678,46.4354,1035.48,-0.000263757
151,5.82296,46.4427,1035.77,-0.000226149
152,6.71074,46.4488,1036.06,-0.00018191
153,7.59854,46.4544,1036.35,-0.000168734
154,8.48733,46.4613,1036.65,-0.000127371
155,9.37622,46.469,1036.93,-9.94273e-05
156,10.2658,46.4743,1037.21,-7.66051e-05
157,11.1556,46.4805,1037.51,-9.13546e-05
158,12.0451,46.488,1037.79,-0.000114637
159,12.9366,46.4963,1038.08,-9.07083e-05
160,13.8282,46.5043,1038.37,-8.75295e-05
161,14.72,46.5104,1038.66,-7.57281e-05
162,15.6125,46.5192,1038.96,-6.60415e-05
163,16.5058,46.5271,1039.25,-8.69852e-05
164,17.4012,46.5364,1039.55,-0.000136694
165,18.2948,46.5441,1039.84,-0.000192939
166,19.1896,46.5495,1040.13,-0.000258597
167,20.0849,46.5563,1040.42,-0.000342013
168,20.9802,46.562,1040.71,-0.000438356
169,21.8759,46.5696,1041,-0.000539486
170,22.7717,46.5748,1041.29,-0.000592668
171,23.6686,46.5825,1041.59,-0.000650025
172,24.5654,46.5908,1041.88,-0.000654027
173,25.4632,46.5985,1042.17,-0.000625602
174,26.3617,46.605,1042.46,-0.000589234
175,27.2602,46.6108,1042.75,-0.000510782
176,28.1601,46.6179,1043.04,-0.000429179
177,29.0599,46.6245,1043.32,-0.000327308
178,29.9611,46.6314,1043.61,-0.000249073
179,30.862,46.6374,1043.9,-0.00017524
180,31.7641,46.644,1044.19,-0.000137366
181,32.6668,46.6511,1044.48,-0.000147253
182,33.5697,46.6581,1044.78,-0.000185981
183,34.4729,46.6642,1045.07,-0.000261037
184,35.3763,46.6705,1045.35,-0.000346422
185,36.2805,46.6784,1045.64,-0.000418142
186,37.1849,46.6856,1045.93,-0.000470596
187,38.0899,46.6925,1046.21,-0.000529714
188,38.9952,46.6986,1046.5,-0.000549205
189,39.9014,46.7051,1046.79,-0.000535582
190,40.8086,46.712,1047.08,-0.000521514
191,41.7158,46.7183,1047.36,-0.000506985
192,42.6236,46.7246,1047.64,-0.000481396
193,43.5324,46.7303,1047.94,-0.000448987
194,44.4419,46.7371,1048.23,-0.000449976
195,45.351,46.7438,1048.51,-0.000444271
196,46.2614,46.7503,1048.81,-0.000444484
197,47.1718,46.7559,1049.11,-0.000432347
198,48.0832,46.762,1049.41,-0.000430893
199,48.9947,46.7685,1049.7,-0.000399204
200,49.9069,46.7745,1049.99,-0.000334163
201,50.82,46.7807,1050.28,-0.000299855
202,51.7329,46.7878,1050.56,-0.000266837
203,52.6472,46.7944,1050.85,-0.000214578
204,53.5622,46.8,1051.14,-0.000159084
205,54.4767,46.8045,1051.43,-0.000132407
206,55.3921,46.8103,1051.71,-0.000139142
207,56.3079,46.8158,1052,-0.000160894
208,57.2256,46.8223,1052.29,-0.000196902
209,58.1428,46.8282,1052.58,-0.000225934
210,59.0612,46.8348,1052.88,-0.000222395
211,59.9791,46.8437,1053.17,-0.000208908
212,60.8985,46.8515,1053.47,-0.000202974
213,61.8183,46.8585,1053.76,-0.000216566
214,62.7387,46.8657,1054.06,-0.000198191
215,63.6605,46.8714,1054.36,-0.000163646
216,64.5817,46.8779,1054.66,-0.000147767
217,65.5037,46.8829,1054.95,-0.00017635
218,66.4263,46.8891,1055.25,-0.000177917
219,67.3499,46.8969,1055.55,-0.000161745
220,68.2739,46.9024,1055.84,-0.000141364
221,69.1978,46.9091,1056.14,-9.67807e-05
222,70.1226,46.9155,1056.43,-6.49552e-05
223,71.0486,46.9217,1056.72,-1.30436e-05
224,71.9751,46.9294,1057.02,2.49149e-06
225,72.9016,46.9346,1057.32,1.61421e-05
226,73.8292,46.9403,1057.61,3.13884e-05
227,74.7569,46.9462,1057.91,2.69872e-05
228,75.6857,46.9535,1058.21,9.96297e-06
229,76.6142,46.9598,1058.5,-1.29723e-05
230,77.544,46.9662,1058.79,-2.85334e-05
231,78.4741,46.9717,1059.09,-3.37587e-05
232,79.4043,46.9783,1059.38,-2.80058e-05
233,80.3367,46.9854,1059.68,-3.21001e-05
234,81.2687,46.9922,1059.98,-1.59521e-05
235,82.201,46.9977,1060.27,-3.34586e-05
236,83.1346,47.0048,1060.57,-4.74223e-05
237,84.0683,47.0124,1060.87,-4.99034e-05
238,85.0034,47.0198,1061.17,-3.2833e-05
239,85.938,47.0268,1061.47,-6.49497e-05
240,86.8731,47.0328,1061.77,-0.00017895
241,-20.5738,45.3489,1026.87,6.68876e-05
242,-19.7013,45.3545,1027.17,5.29971e-05
243,-18.8282,45.3626,1027.48,3.5766e-05
244,-17.9546,45.37,1027.78,2.56952e-05
245,-17.0806,45.3748,1028.08,-9.70161e-07
246,-16.206,45.3816,1028.38,-3.23488e-05
247,-15.3309,45.3884,1028.68,-4.65169e-05
248,-14.455,45.3953,1028.98,-5.45347e-05
249,-13.5793,45.403,1029.27,-6.49689e-05
250,-12.7029,45.4108,1029.57,-6.82741e-05
251,-11.8261,45.4178,1029.86,-5.3669e-05
252,-10.9487,45.4252,1030.15,-5.32717e-05
253,-10.071,45.4319,1030.45,-4.04287e-05
254,-9.19219,45.4389,1030.74,-6.56292e-06
255,-8.31332,45.4472,1031.04,-4.78609e-06
256,-7.43306,45.4528,1031.33,1.1202e-05
257,-6.55329,45.4605,1031.63,6.61669e-06
258,-5.67258,45.4668,1031.93,5.24429e-05
259,-4.79136,45.4734,1032.23,6.8312e-05
260,-3.90937,45.4807,1032.53,8.63879e-05
261,-3.02754,45.4867,1032.82,7.07418e-05
262,-2.14555,45.4932,1033.11,5.14733e-05
263,-1.26186,45.4997,1033.4,-5.95888e-06
264,-0.378632,45.5063,1033.7,-6.87757e-05
265,0.505428,45.5138,1033.99,-0.000119684
266,1.3894,45.521,1034.29,-0.000200493
267,2.27436,45.5288,1034.58,-0.000261401
268,3.1598,45.5359,1034.87,-0.000321294
269,4.0458,45.5433,1035.17,-0.000303387
270,4.93232,45.5502,1035.46,-0.000304078
271,5.81852,45.5576,1035.75,-0.000274769
272,6.70617,45.5636,1036.04,-0.000228386
273,7.59392,45.5687,1036.33,-0.000216663
274,8.48263,45.5754,1036.63,-0.000199441
275,9.3714,45.5828,1036.92,-0.000174636
276,10.2608,45.5876,1037.2,-0.000153682
277,11.1508,45.5936,1037.49,-0.000152977
278,12.0402,45.6011,1037.77,-0.000166089
279,12.9316,45.6084,1038.06,-0.000127356
280,13.8228,45.6148,1038.35,-9.54461e-05
281,14.7145,45.6208,1038.64,-8.78434e-05
282,15.607,45.6302,1038.93,-7.86755e-05
283,16.5,45.6378,1039.23,-9.19309e-05
284,17.3953,45.6465,1039.53,-0.000144781
285,18.289,45.6535,1039.83,-0.000224476
286,19.184,45.6604,1040.11,-0.000291624
287,20.079,45.6665,1040.4,-0.000369615
288,20.9744,45.6717,1040.69,-0.000448063
289,21.8703,45.6788,1040.98,-0.000533148
290,22.7661,45.6839,1041.27,-0.000568264
291,23.6626,45.6913,1041.57,-0.000591141
292,24.5597,45.6979,1041.87,-0.000589791
293,25.4578,45.7059,1042.16,-0.00056431
294,26.3562,45.7128,1042.45,-0.000534718
295,27.2547,45.7184,1042.74,-0.000475859
296,28.1545,45.7261,1043.03,-0.000411799
297,29.0547,45.7328,1043.3,-0.00034172
298,29.9558,45.7397,1043.6,-0.000278581
299,30.8569,45.7463,1043.89,-0.000228506
300,31.7588,45.7527,1044.18,-0.000217884
301,32.6612,45.7598,1044.47,-0.000222713
302,33.5642,45.7663,1044.76,-0.000261725
303,34.4674,45.7721,1045.05,-0.000314172
304,35.3708,45.7786,1045.34,-0.000383786
305,36.2747,45.7848,1045.63,-0.000442046
306,37.1792,45.7919,1045.91,-0.000487986
307,38.0841,45.7983,1046.2,-0.000531323
308,38.9891,45.8042,1046.49,-0.000547085
309,39.895,45.8103,1046.78,-0.000521338
310,40.802,45.8167,1047.07,-0.000501831
311,41.7099,45.8254,1047.36,-0.00048315
312,42.6175,45.8308,1047.64,-0.000443921
313,43.5264,45.8365,1047.94,-0.000415459
314,44.4359,45.8438,1048.23,-0.000415782
315,45.3449,45.8507,1048.52,-0.000407725
316,46.2555,45.8582,1048.81,-0.000412443
317,47.1658,45.8624,1049.11,-0.00041432
