序号(),日期时间,时间(s),水平X1力(kN),水平X2力(kN),垂向Y1力(kN),垂向Y2力(kN),水平X1位移(mm),水平X2位移(mm),垂向Y1位移(mm),垂向Y2位移(mm),水平应变1微应变(με),水平应变2微应变(με),垂向应变1微应变(με),垂向应变2微应变(με),应变CH5微应变(με),应变CH6微应变(με),应变CH7微应变(με),应变CH8微应变(με),水平变形(mm),垂向变形(mm)
0,#2026-05-27 14:19:16#,0,-3.7E-05,0.000128,0.034881,0.034792,0.000333,0,0,0.002,0,0,0,0,0,0,0,0,0,0
1,#2026-05-27 14:19:16#,0,-3.7E-05,0.000128,0.034881,0.034792,0.000333,0,0,0.002,0,0,0,0,0,0,0,0,0,0
2,#2026-05-27 14:19:16#,0.197000000000116,-0.000294,-3.3E-05,0.035012,0.035036,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0
3,#2026-05-27 14:19:17#,0.324000000000524,0,4.2E-05,0.03512,0.035082,0,0,-0.000333,0.002,0,0,0,0,0,0,0,0,0,0
4,#2026-05-27 14:19:17#,0.423999999999069,8E-06,6.7E-05,0.03543,0.035582,0.000333,0,-0.000333,0.002,0,0,0,0,0,0,0,0,0,0
5,#2026-05-27 14:19:17#,0.524000000001251,-4.6E-05,0.000147,0.04082,0.041433,0,0,-0.000333,0.002333,0,0,0,0,0,0,0,0,0,0
6,#2026-05-27 14:19:17#,0.625,-3E-06,2.7E-05,0.061187,0.062514,0,0,-0.000333,0.003667,0,0,0,0,0,0,0,0,0,0
7,#2026-05-27 14:19:17#,0.724999999998545,2.1E-05,0.000174,0.097735,0.100526,0,0,-0.000333,0.006333,0,0,0,0,0,0,0,0,0,0
8,#2026-05-27 14:19:17#,0.82300000000032,8.4E-05,0.000302,0.150692,0.152932,0,0,-0.000333,0.01,0,0,0,0,0,0,0,0,0,0
9,#2026-05-27 14:19:17#,0.924999999999272,-4.6E-05,0.000181,0.232494,0.234722,0,0,-0.000333,0.016333,0,0,0,0,0,0,0,0,0,0
10,#2026-05-27 14:19:17#,1.01499999999942,-5E-05,0.000176,0.29565,0.296585,0,-0.000333,-0.000667,0.021667,0,0,0,0,0,0,0,0,0,0
11,#2026-05-27 14:19:17#,1.12700000000041,0.000168,0.000111,0.338087,0.338022,0,0,-0.000667,0.025667,0,0,0,0,0,0,0,0,0,0
12,#2026-05-27 14:19:17#,1.22699999999895,0.000172,0.000279,0.368498,0.367759,0,0,-0.001,0.028333,0,0,0,0,0,0,0,0,0,0
13,#2026-05-27 14:19:18#,1.32700000000114,0.000142,0.000288,0.402101,0.40115,0,0,-0.001,0.031333,0,0,0,0,0,0,0,0,0,0
14,#2026-05-27 14:19:18#,1.42699999999968,5.3E-05,0.000189,0.444139,0.442598,0,0,-0.001,0.035333,0,0,0,0,0,0,0,0,0,0
15,#2026-05-27 14:19:18#,1.52799999999843,0.000123,0.000218,0.491146,0.488988,0,-0.000333,-0.001333,0.039667,0,0,0,0,0,0,0,0,0,0
16,#2026-05-27 14:19:18#,1.62800000000061,0.00014,0.000218,0.527684,0.525064,0,0,-0.001333,0.043,0,0,0,0,0,0,0,0,0,0
17,#2026-05-27 14:19:18#,1.72799999999916,0.000155,0.00026,0.556883,0.553996,0,-0.000333,-0.001667,0.046,0,0,0,0,0,0,0,0,0,0
18,#2026-05-27 14:19:18#,1.82800000000134,0.000174,0.000105,0.585876,0.582783,0,0,-0.001667,0.049,0,0,0,0,0,0,0,0,0,0
19,#2026-05-27 14:19:18#,1.91900000000169,0.000254,0.00016,0.617116,0.613758,0,0,-0.001667,0.052,0,0,0,0,0,0,0,0,0,0
20,#2026-05-27 14:19:18#,2.02899999999863,0.000185,0.000288,0.658513,0.654972,0,0,-0.002,0.056,0,0,0,0,0,0,0,0,0,0
21,#2026-05-27 14:19:18#,2.12900000000081,0.000125,4.6E-05,0.694253,0.690748,0,0,-0.002,0.059667,0,0,0,0,0,0,0,0,0,0
22,#2026-05-27 14:19:18#,2.21500000000015,0.000125,0.000265,0.716933,0.713197,0,0,-0.002,0.062333,0,0,0,0,0,0,0,0,0,0
23,#2026-05-27 14:19:19#,2.32700000000114,0.000151,0.000116,0.740487,0.736758,0,0,-0.002,0.065333,0,0,0,0,0,0,0,0,0,0
24,#2026-05-27 14:19:19#,2.43000000000029,7.5E-05,0.0003,0.763014,0.759302,0,0,-0.002,0.067667,0,0,0,0,0,0,0,0,0,0
25,#2026-05-27 14:19:19#,2.53199999999924,0.000317,5.9E-05,0.787858,0.783913,0,0,-0.002,0.070667,0,0,0,0,0,0,0,0,0,0
26,#2026-05-27 14:19:19#,2.63200000000143,4E-06,0.000109,0.813537,0.809786,0,0,-0.002,0.073667,0,0,0,0,0,0,0,0,0,0
27,#2026-05-27 14:19:19#,2.73199999999997,0.000228,0.000147,0.837717,0.833928,0,0,-0.002,0.076667,0,0,0,0,0,0,0,0,0,0
28,#2026-05-27 14:19:19#,2.83199999999852,0.00023,0.000181,0.858243,0.85456,0,-0.000333,-0.002,0.079667,0,0,0,0,0,0,0,0,0,0
29,#2026-05-27 14:19:19#,2.9320000000007,0.000125,0.000149,0.877212,0.873618,0,0,-0.002,0.082333,0,0,0,0,0,0,0,0,0,0
30,#2026-05-27 14:19:19#,3.02300000000105,-5E-06,0.000141,0.89373,0.890281,0,0,-0.002,0.084667,0,0,0,0,0,0,0,0,0,0
31,#2026-05-27 14:19:19#,3.13200000000143,5.8E-05,0.000105,0.913391,0.91004,0,0,-0.002,0.087333,0,0,0,0,0,0,0,0,0,0
32,#2026-05-27 14:19:19#,3.20899999999892,8.2E-05,0.000137,0.928012,0.924821,0,0,-0.002,0.089667,0,0,0,0,0,0,0,0,0,0
33,#2026-05-27 14:19:20#,3.32200000000012,0.000123,2E-06,0.953022,0.950287,0,0,-0.002,0.093333,0,0,0,0,0,0,0,0,0,0
