specimen,hole_index,x_mm,y_mm,radius_mm,diameter_mm,note
single_large_hole_plate,1,100,75,31.622777,63.245553,Single centered hole with area equal to forty 10 mm holes.
uniform_perforated_plate,1,20,20,5,10,Uniform 8 by 5 hole array across the allowable region.
uniform_perforated_plate,2,42.857143,20,5,10,Uniform 8 by 5 hole array across the allowable region.
uniform_perforated_plate,3,65.714286,20,5,10,Uniform 8 by 5 hole array across the allowable region.
uniform_perforated_plate,4,88.571429,20,5,10,Uniform 8 by 5 hole array across the allowable region.
uniform_perforated_plate,5,111.428571,20,5,10,Uniform 8 by 5 hole array across the allowable region.
uniform_perforated_plate,6,134.285714,20,5,10,Uniform 8 by 5 hole array across the allowable region.
uniform_perforated_plate,7,157.142857,20,5,10,Uniform 8 by 5 hole array across the allowable region.
uniform_perforated_plate,8,180,20,5,10,Uniform 8 by 5 hole array across the allowable region.
uniform_perforated_plate,9,20,47.5,5,10,Uniform 8 by 5 hole array across the allowable region.
uniform_perforated_plate,10,42.857143,47.5,5,10,Uniform 8 by 5 hole array across the allowable region.
uniform_perforated_plate,11,65.714286,47.5,5,10,Uniform 8 by 5 hole array across the allowable region.
uniform_perforated_plate,12,88.571429,47.5,5,10,Uniform 8 by 5 hole array across the allowable region.
uniform_perforated_plate,13,111.428571,47.5,5,10,Uniform 8 by 5 hole array across the allowable region.
uniform_perforated_plate,14,134.285714,47.5,5,10,Uniform 8 by 5 hole array across the allowable region.
uniform_perforated_plate,15,157.142857,47.5,5,10,Uniform 8 by 5 hole array across the allowable region.
uniform_perforated_plate,16,180,47.5,5,10,Uniform 8 by 5 hole array across the allowable region.
uniform_perforated_plate,17,20,75,5,10,Uniform 8 by 5 hole array across the allowable region.
uniform_perforated_plate,18,42.857143,75,5,10,Uniform 8 by 5 hole array across the allowable region.
uniform_perforated_plate,19,65.714286,75,5,10,Uniform 8 by 5 hole array across the allowable region.
uniform_perforated_plate,20,88.571429,75,5,10,Uniform 8 by 5 hole array across the allowable region.
uniform_perforated_plate,21,111.428571,75,5,10,Uniform 8 by 5 hole array across the allowable region.
